iter	Logloss
0	0.6628135947
1	0.6433964038
2	0.6333303141
3	0.6202894602
4	0.6033827722
5	0.5945592485
6	0.5876600454
7	0.578648929
8	0.5710187545
9	0.5638699789
10	0.5561851274
11	0.5482806254
12	0.541307624
13	0.5356661493
14	0.5296122198
15	0.5211116817
16	0.5143713429
17	0.5088806356
18	0.5053650208
19	0.49920957
20	0.4960611185
21	0.4903848328
22	0.4866226111
23	0.4834245477
24	0.4777858431
25	0.4739589795
26	0.4717034514
27	0.466326073
28	0.4627839279
29	0.4595165145
30	0.4582309268
31	0.4558477653
32	0.4528176729
33	0.4490021687
34	0.4463930584
35	0.4448565654
36	0.4434556707
37	0.4401847406
38	0.4369180359
39	0.4341711881
40	0.4322449957
41	0.4286593607
42	0.4274089206
43	0.425007115
44	0.4242927756
45	0.4220315793
46	0.4206201461
47	0.4197977421
48	0.4182635596
49	0.4171433207
50	0.4158950025
51	0.4145316957
52	0.4137990789
53	0.4129995327
54	0.411440437
55	0.4097569905
56	0.4085202297
57	0.4076369764
58	0.4064985473
59	0.4053687342
60	0.4044643146
61	0.4038590751
62	0.4022345466
63	0.4017294506
64	0.4009256212
65	0.4004359011
66	0.399851578
67	0.397992851
68	0.3970172894
69	0.396203563
70	0.395023591
71	0.3945005609
72	0.3939313852
73	0.3929861627
74	0.3925148267
75	0.3919861368
76	0.3913600967
77	0.3908383533
78	0.3902383061
79	0.3897210627
80	0.3891386225
81	0.3876691053
82	0.3867241228
83	0.3860491391
84	0.3854424984
85	0.3848299806
86	0.3841734755
87	0.3835447562
88	0.3832091979
89	0.382720334
90	0.3823536136
91	0.3817696243
92	0.3812340495
93	0.3806818185
94	0.3802437233
95	0.3794639287
96	0.3790389244
97	0.3781464736
98	0.3776960622
99	0.3771905033
100	0.3766702136
101	0.3763868651
102	0.3747673052
103	0.374348478
104	0.3739281168
105	0.3732821523
106	0.3728502769
107	0.3723583114
108	0.3718544788
109	0.3712922159
110	0.3708164211
111	0.3703928532
112	0.3694652797
113	0.3690663085
114	0.3686441178
115	0.3681444338
116	0.3677926721
117	0.3674922983
118	0.3670780879
119	0.3662433772
120	0.3658489701
121	0.3653600457
122	0.3647521686
123	0.3641789024
124	0.3639303837
125	0.3635940922
126	0.3631497717
127	0.362478776
128	0.3619761622
129	0.3613430596
130	0.3608777833
131	0.3604742736
132	0.360093589
133	0.3595968185
134	0.3590068097
135	0.358593727
136	0.3580904134
137	0.3574913233
138	0.3570001578
139	0.356683614
140	0.3563613127
141	0.3559392878
142	0.3554702468
143	0.3549697303
144	0.3546706613
145	0.3543545203
146	0.3538669533
147	0.3534703094
148	0.3530625378
149	0.3527785284
150	0.352379462
151	0.351905262
152	0.3515037705
153	0.3510857457
154	0.3506954705
155	0.3503441937
156	0.3498881179
157	0.3494938241
158	0.3491321581
159	0.3485789835
160	0.3482630017
161	0.3477501739
162	0.3474047544
163	0.3468309562
164	0.3463143629
165	0.3457812191
166	0.3454378916
167	0.345078338
168	0.3446863783
169	0.3443787695
170	0.3440658199
171	0.3436622659
172	0.3433296258
173	0.3428874441
174	0.3425779287
175	0.3420885185
176	0.3416626748
177	0.3411223994
178	0.3407367126
179	0.3403402804
180	0.3399545378
181	0.3395217893
182	0.3390799697
183	0.3387844612
184	0.3383303183
185	0.3378830583
186	0.3373972367
187	0.3369066858
188	0.3363638297
189	0.3359917028
190	0.3356048406
191	0.335208996
192	0.33473267
193	0.3344648403
194	0.3340928775
195	0.3337073108
196	0.3334498957
197	0.3330524639
198	0.332505416
199	0.3321983062
200	0.3318873384
201	0.3314613416
202	0.3310405954
203	0.3305702669
204	0.3301382796
205	0.3297462066
206	0.3292178463
207	0.3288319913
208	0.3284425084
209	0.3280510692
210	0.3276309853
211	0.3271326276
212	0.3267240249
213	0.3262320133
214	0.3257588577
215	0.3254230345
216	0.3251119227
217	0.3246970472
218	0.3242703571
219	0.3238908799
220	0.3234260048
221	0.3228827745
222	0.3225762684
223	0.3221666808
224	0.32190039
225	0.3214565965
226	0.320583239
227	0.3201372319
228	0.319739057
229	0.3194756888
230	0.3190209654
231	0.3186828175
232	0.3183073594
233	0.3177552281
234	0.3169684715
235	0.3165279521
236	0.3161200681
237	0.3157626764
238	0.3154269684
239	0.3151384943
240	0.3147614427
241	0.3143592046
242	0.3139049195
243	0.3135532849
244	0.3129248297
245	0.3127185843
246	0.3124064969
247	0.3121440656
248	0.3117436231
249	0.3112794975
250	0.3109420977
251	0.3105130872
252	0.3101821014
253	0.309935615
254	0.3096914418
255	0.3093738818
256	0.3091342906
257	0.3087051425
258	0.3083385301
259	0.3079057751
260	0.3073270528
261	0.3070276181
262	0.3067872215
263	0.3063378707
264	0.3059692247
265	0.3057083351
266	0.3053901094
267	0.305013245
268	0.3046485446
269	0.3042842642
270	0.3040576331
271	0.3037359952
272	0.3034082356
273	0.3027611389
274	0.3025005781
275	0.3020988685
276	0.3018883635
277	0.3017009144
278	0.3014814437
279	0.3010979588
280	0.3008664551
281	0.3006246564
282	0.3002927813
283	0.3000635652
284	0.2997600497
285	0.2994804915
286	0.2991413179
287	0.2987690988
288	0.2985498877
289	0.2981778649
290	0.2979373168
291	0.2976662581
292	0.2973547962
293	0.2970638108
294	0.2968712258
295	0.2964521259
296	0.2962975927
297	0.2959410506
298	0.2956614975
299	0.2953650414
